created_at,count
2008-12,2
2009-01,1
2009-02,1
2009-03,2
2009-04,3
2009-05,0
2009-06,2
2009-07,3
2009-08,3
2009-09,2
2009-10,1
2009-11,2
2009-12,3
2010-01,5
2010-02,5
2010-03,8
2010-04,8
2010-05,5
2010-06,19
2010-07,15
2010-08,6
2010-09,14
2010-10,17
2010-11,20
2010-12,5
2011-01,24
2011-02,15
2011-03,18
2011-04,19
2011-05,17
2011-06,21
2011-07,16
2011-08,28
2011-09,21
2011-10,25
2011-11,17
2011-12,29
2012-01,22
2012-02,19
2012-03,26
2012-04,37
2012-05,53
2012-06,31
2012-07,47
2012-08,51
2012-09,38
2012-10,42
2012-11,62
2012-12,51
2013-01,49
2013-02,58
2013-03,67
2013-04,75
2013-05,72
2013-06,59
2013-07,53
2013-08,68
2013-09,57
2013-10,68
2013-11,88
2013-12,79
2014-01,108
2014-02,113
2014-03,136
2014-04,113
2014-05,175
2014-06,125
2014-07,131
2014-08,124
2014-09,131
2014-10,138
2014-11,194
2014-12,134
2015-01,196
2015-02,165
2015-03,182
2015-04,177
2015-05,202
2015-06,191
2015-07,203
2015-08,186
2015-09,169
2015-10,197
2015-11,194
2015-12,162
2016-01,212
2016-02,207
2016-03,173
2016-04,272
2016-05,202
2016-06,232
2016-07,203
2016-08,234
2016-09,264
2016-10,199
2016-11,222
2016-12,178
2017-01,236
2017-02,208
2017-03,241
2017-04,199
2017-05,242
2017-06,221
2017-07,197
2017-08,204
2017-09,193
2017-10,198
2017-11,169
2017-12,159
2018-01,203
2018-02,162
2018-03,172
2018-04,160
2018-05,128
2018-06,151
2018-07,163
2018-08,136
2018-09,118
2018-10,150
2018-11,149
2018-12,120
2019-01,121
2019-02,142
2019-03,102
2019-04,155
2019-05,158
2019-06,123
2019-07,124
2019-08,116
2019-09,118
2019-10,137
2019-11,117
2019-12,108
2020-01,118
2020-02,97
2020-03,150
2020-04,135
2020-05,98
2020-06,117
2020-07,91
2020-08,92
2020-09,80
2020-10,76
2020-11,80
2020-12,61
2021-01,77
2021-02,68
2021-03,89
2021-04,55
2021-05,67
2021-06,69
2021-07,56
2021-08,45
2021-09,67
2021-10,62
2021-11,60
2021-12,66
2022-01,63
2022-02,66
2022-03,116
2022-04,63
2022-05,64
2022-06,56
2022-07,56
2022-08,59
2022-09,41
2022-10,69
2022-11,64
2022-12,50
2023-01,82
2023-02,65
2023-03,54
2023-04,65
2023-05,50
2023-06,58
2023-07,32
2023-08,51
2023-09,49
2023-10,59
2023-11,60
2023-12,28
2024-01,34
2024-02,50
2024-03,45
2024-04,47
2024-05,46
2024-06,27
2024-07,25
2024-08,42
2024-09,28
2024-10,45
2024-11,32
2024-12,27
2025-01,43
2025-02,48
2025-03,46
2025-04,36
2025-05,63
2025-06,26
2025-07,42
2025-08,2
