org,id,login,name,type,site_admin,created_at,updated_at
abcnews,49600,AshKyd,Ash Kyd,User,False,2009-01-27 12:07:33+00:00,2025-05-27 09:51:52+00:00
abcnews,23016152,alexanderlim9,Alex Lim,User,False,2016-10-23 17:32:44+00:00,2025-04-04 02:51:11+00:00
abcnews,245146,blakebutcher,Blake Butcher,User,False,2010-04-16 02:02:57+00:00,2024-03-07 08:16:09+00:00
abcnews,596563,drzax,Simon Elvery,User,False,2011-02-02 10:39:49+00:00,2025-04-30 04:27:57+00:00
abcnews,13426605,mattliddy,Matt Liddy,User,False,2015-07-21 00:49:45+00:00,2025-06-16 23:17:15+00:00
abcnews,437566,phocks,Joshua Byrd,User,False,2010-10-13 06:27:05+00:00,2025-07-30 07:08:34+00:00
abcnews,70102377,thomasbrettell,Brettell,User,False,2020-08-23 14:39:03+00:00,2025-07-02 02:11:49+00:00
aftenposten,334239,erikkri,Erik Kristensen,User,False,2010-07-16 17:22:58+00:00,2025-06-11 13:54:13+00:00
aftenposten,808950,jlom,Jørgen Arnor G. Lom,User,False,2011-05-25 02:30:04+00:00,2025-06-30 10:39:58+00:00
aftenposten,56080700,pbyenstuen,,User,False,2019-10-02 14:13:35+00:00,2025-05-23 10:59:26+00:00
aljazeeraplus,10230040,LevanArabuli,larabuli,User,False,2014-12-18 07:54:59+00:00,2025-07-04 13:35:04+00:00
aljazeeraplus,13624459,ShashwatMittal,Shashwat Mittal,User,False,2015-08-03 12:28:58+00:00,2025-07-11 02:21:59+00:00
aljazeeraplus,26354653,abhijitrakas,Abhijit Rakas,User,False,2017-03-12 03:16:07+00:00,2025-06-04 08:22:02+00:00
aljazeeraplus,40795917,shreyasikhar,Shreyas Ikhar,User,False,2018-07-03 12:20:34+00:00,2025-06-24 18:44:56+00:00
apmg,180144,abeger,Andy Beger,User,False,2010-01-11 17:10:19+00:00,2024-12-04 11:50:56+00:00
apmg,4681491,rasm0225,Peter Rasmussen,User,False,2013-06-12 17:30:11+00:00,2022-09-15 19:59:57+00:00
associatedpress,61112665,ernestkung,Ernest Kung,User,False,2020-02-16 12:38:10+00:00,2025-06-24 21:55:29+00:00
associatedpress,5200,greatseth,Seth Thomas Rasmussen,User,False,2008-04-05 00:32:08+00:00,2024-12-02 17:29:34+00:00
associatedpress,178317,michelleminkoff,Michelle Minkoff,User,False,2010-01-08 02:46:25+00:00,2022-10-17 18:59:21+00:00
associatedpress,217394,tthibo,Troy Thibodeaux,User,False,2010-03-07 00:34:50+00:00,2025-07-01 18:04:53+00:00
azpm,1682643,multigl,Joey Leingang,User,False,2012-04-26 17:07:58+00:00,2025-07-15 14:39:52+00:00
azpm,2166295,qwijib0,Jason Katterhenry,User,False,2012-08-17 00:24:17+00:00,2025-07-24 21:50:41+00:00
badideafactory,21679,Laurian,Laurian Gridinoc,User,False,2008-08-23 10:11:37+00:00,2025-07-15 00:04:41+00:00
badideafactory,2553268,louh,Lou Huang,User,False,2012-10-13 19:23:53+00:00,2025-05-07 13:36:23+00:00
badideafactory,208756,maboa,Mark Boas,User,False,2010-02-22 23:04:28+00:00,2025-07-25 13:27:21+00:00
badideafactory,53129,mtigas,Mike Tigas,User,False,2009-02-09 20:51:46+00:00,2025-07-30 15:56:46+00:00
badideafactory,208884,slifty,Daniel Schultz,User,False,2010-02-23 03:12:27+00:00,2025-07-24 16:08:13+00:00
baycitizen,231793,Jbonnett,Joshua Bonnett,User,False,2010-03-27 23:45:40+00:00,2024-03-31 06:03:29+00:00
baycitizen,375109,joncotton,Jon Cotton,User,False,2010-08-24 22:41:20+00:00,2025-07-18 17:31:52+00:00
baycitizen,433755,shaneshifflett,Shane Shifflett,User,False,2010-10-09 19:25:52+00:00,2024-05-31 16:18:04+00:00
bbc-news-labs,1609725,bennuttall,Ben Nuttall,User,False,2012-04-03 21:27:56+00:00,2025-07-22 11:26:31+00:00
bbcrd,1734984,chrisbaume,Chris Baume,User,False,2012-05-13 16:14:31+00:00,2025-08-01 02:43:58+00:00
bbcrd,57790,chrisn,Chris Needham,User,False,2009-02-25 10:47:06+00:00,2025-07-04 21:59:15+00:00
bbcrd,1894282,chrispike-bbc,Chris Pike,User,False,2012-06-26 13:45:06+00:00,2021-07-26 10:35:46+00:00
bbcrd,623539,cisnky,Anthony Onumonu,User,False,2011-02-17 16:20:01+00:00,2025-04-22 14:23:46+00:00
bbcrd,699073,jamesbaBBC,James P. Barrett,User,False,2011-03-30 10:19:25+00:00,2016-02-27 00:03:42+00:00
bbcrd,210611,libbymiller,,User,False,2010-02-25 11:50:51+00:00,2024-08-29 20:24:12+00:00
bbcrd,697281,matt-hammond-001,Matt Hammond,User,False,2011-03-29 13:35:54+00:00,2025-05-22 11:15:20+00:00
bbcrd,53077,matth,Matt Haynes,User,False,2009-02-09 17:40:34+00:00,2025-05-30 18:23:14+00:00
bbcrd,38734,njh,Nicholas Humfrey,User,False,2008-12-06 18:42:04+00:00,2025-07-27 11:21:40+00:00
bbcrd,1176711,rosswilson,Ross Wilson,User,False,2011-11-07 00:17:45+00:00,2025-07-07 10:16:36+00:00
bbcrd,1870,seanohalpin,Sean O'Halpin,User,False,2008-03-01 13:15:22+00:00,2025-05-06 01:17:08+00:00
bbcrd,131971,sparkslabs,Michael,User,False,2009-09-27 21:06:49+00:00,2025-07-23 07:42:41+00:00
biglocalnews,547438,cephillips,Cheryl Phillips,User,False,2011-01-04 19:04:47+00:00,2025-07-23 22:17:44+00:00
biglocalnews,1578563,newsroomdev,Gerald Rich,User,False,2012-03-27 04:18:05+00:00,2025-07-31 22:10:14+00:00
biglocalnews,20691507,ydoc5212,Cody Hergenroeder,User,False,2016-07-27 22:18:19+00:00,2025-07-09 05:32:00+00:00
biglocalnews,39200,zstumgoren,Serdar Tumgoren,User,False,2008-12-09 01:26:00+00:00,2025-07-12 06:55:19+00:00
bloomberg,1478530,aevri,Angelos Evripiotis,User,False,2012-02-27 14:17:56+00:00,2025-07-23 08:49:18+00:00
bloomberg,767372,apaprocki,Andrew Paprocki,User,False,2011-05-04 08:29:08+00:00,2025-07-16 03:39:49+00:00
bloomberg,78410,awright,alyssa wright,User,False,2009-04-27 17:09:48+00:00,2025-07-03 14:33:45+00:00
bloomberg,42383631,bloomberg-oss,Bloomberg Open Source,User,False,2018-08-14 15:16:38+00:00,2025-03-05 01:25:44+00:00
bloomberg,6003769,brittharr,Brittany Harris,User,False,2013-11-21 18:37:42+00:00,2025-07-12 13:50:10+00:00
bloomberg,435950,c4rlo,Carlo Teubner,User,False,2010-10-11 21:58:32+00:00,2025-04-27 08:45:54+00:00
bloomberg,4192761,cbaenziger,Clay B.,User,False,2013-04-18 15:09:37+00:00,2025-05-31 05:15:13+00:00
bloomberg,6458642,cpoerschke,Christine Poerschke,User,False,2014-01-21 09:08:32+00:00,2025-07-25 13:34:15+00:00
bloomberg,2805166,davidducros,Dave Du Cros,User,False,2012-11-15 14:00:32+00:00,2025-06-25 16:19:19+00:00
bloomberg,3594022,dprophet,Erik Anderson,User,False,2013-02-14 13:41:27+00:00,2025-07-28 13:51:45+00:00
