org,repo_name,full_name,id,login,user_name,contributions
AJInteractive,Chariklo-Firebase,AJInteractive/Chariklo-Firebase,21679,Laurian,Laurian Gridinoc,46
AJInteractive,UNHumanitarianSpending,AJInteractive/UNHumanitarianSpending,453655,alaahaytham,Alaa Haytham,1
AJInteractive,UNHumanitarianSpending,AJInteractive/UNHumanitarianSpending,1133102,megomars,Mohammed Haddad,1
AJInteractive,palestineremix-video,AJInteractive/palestineremix-video,21679,Laurian,Laurian Gridinoc,52
ALJAZEERAPLUS,amazon-appstore-action,ALJAZEERAPLUS/amazon-appstore-action,49699333,dependabot[bot],,2
ALJAZEERAPLUS,amazon-appstore-action,ALJAZEERAPLUS/amazon-appstore-action,7251081,vhsantos26,Victor Hugo dos Santos,16
ALJAZEERAPLUS,sauce-labs-storage-action,ALJAZEERAPLUS/sauce-labs-storage-action,7251081,vhsantos26,Victor Hugo dos Santos,34
ANCIR,CostOfLife,ANCIR/CostOfLife,877919,DavidLemayian,David Lemayian ✨,33
ANCIR,CostOfLife,ANCIR/CostOfLife,647123,andkamau,Andrew Kamau,45
ANCIR,DoubleOffshore.org,ANCIR/DoubleOffshore.org,877919,DavidLemayian,David Lemayian ✨,3
ANCIR,DoubleOffshore.org,ANCIR/DoubleOffshore.org,588701,Rizziepit,Rizmari Versfeld,70
ANCIR,DoubleOffshore.org,ANCIR/DoubleOffshore.org,6331,danohu,Dan O'Huiginn,13
ANCIR,DoubleOffshore.org,ANCIR/DoubleOffshore.org,41628,pudo,Friedrich Lindenberg,36
ANCIR,FatalExtraction,ANCIR/FatalExtraction,877919,DavidLemayian,David Lemayian ✨,39
ANCIR,FatalExtraction,ANCIR/FatalExtraction,1506468,StephenAbbott,Stephen Abbott Pugh,1
ANCIR,InvestigativeCenters.org,ANCIR/InvestigativeCenters.org,877919,DavidLemayian,David Lemayian ✨,94
ANCIR,InvestigativeCenters.org,ANCIR/InvestigativeCenters.org,1779590,kilemensi,Clemence Kyara,2
ANCIR,InvestigativeCenters.org,ANCIR/InvestigativeCenters.org,41628,pudo,Friedrich Lindenberg,16
ANCIR,InvestigativeCenters.org,ANCIR/InvestigativeCenters.org,4550385,serahkiburu,Serah Njambi Kiburu,35
ANCIR,MafiaInAfrica,ANCIR/MafiaInAfrica,877919,DavidLemayian,David Lemayian ✨,3
ANCIR,MafiaInAfrica,ANCIR/MafiaInAfrica,1779590,kilemensi,Clemence Kyara,2
ANCIR,MisInfo,ANCIR/MisInfo,10678072,7ony3,Tonye,79
ANCIR,MisInfo,ANCIR/MisInfo,877919,DavidLemayian,David Lemayian ✨,8
ANCIR,MisInfo,ANCIR/MisInfo,49699333,dependabot[bot],,2
ANCIR,MisInfo,ANCIR/MisInfo,33487823,iforgotband,CasKer,16
ANCIR,MisInfo,ANCIR/MisInfo,1779590,kilemensi,Clemence Kyara,2
ANCIR,PanamaPapers,ANCIR/PanamaPapers,877919,DavidLemayian,David Lemayian ✨,35
ANCIR,PanamaPapers,ANCIR/PanamaPapers,647123,andkamau,Andrew Kamau,167
ANCIR,PanamaPapers,ANCIR/PanamaPapers,4598145,mevey,Eve,1
ANCIR,Siyazana.co.za,ANCIR/Siyazana.co.za,877919,DavidLemayian,David Lemayian ✨,10
ANCIR,Siyazana.co.za,ANCIR/Siyazana.co.za,588701,Rizziepit,Rizmari Versfeld,139
