org,repo_count,stargazers_count,latest_update
abcnews,201,1246,2025-07-29 02:00:52+00:00
accurat,29,174,2025-06-08 22:32:45+00:00
aftenposten,5,1,2023-07-04 09:16:47+00:00
ajam,20,256,2025-06-04 18:06:19+00:00
ajinteractive,3,2,2023-01-28 17:32:51+00:00
alephdata,31,3179,2025-08-01 04:51:28+00:00
aljazeeraplus,2,5,2025-05-13 12:44:38+00:00
ancir,16,278,2025-07-15 10:11:10+00:00
animalpolitico,2,15,2025-04-06 19:50:37+00:00
apm-research-lab,3,6,2024-03-25 20:58:44+00:00
apmg,43,66,2025-07-16 20:04:56+00:00
arizona-republic-data,3,2,2022-12-07 23:23:21+00:00
arizonadailystar,3,1,2023-01-21 12:10:40+00:00
associatedpress,27,526,2025-08-02 16:21:43+00:00
axioscode,2,2,2024-05-01 03:03:49+00:00
azpm,13,6,2025-08-01 23:47:32+00:00
badideafactory,43,220,2025-07-04 15:49:34+00:00
baltimore-sun-data,69,83,2023-08-24 09:15:11+00:00
bangordailynews,25,150,2025-03-24 15:32:52+00:00
baycitizen,5,42,2024-06-13 05:46:44+00:00
bayerischer-rundfunk,2,8,2022-05-01 13:47:25+00:00
bbc-data-unit,301,153,2025-07-12 05:16:40+00:00
bettergov,14,51,2025-06-20 22:56:33+00:00
biglocalnews,33,244,2025-08-02 00:21:37+00:00
bloomberg,128,32652,2025-08-03 06:30:43+00:00
bloomberggraphics,13,4104,2025-07-24 11:25:37+00:00
bostonglobe,95,73,2025-02-02 14:04:41+00:00
br-data,46,163,2025-07-30 12:59:15+00:00
browninstitute,17,8,2025-05-08 16:12:57+00:00
businessinsider,6,5,2025-07-16 20:26:09+00:00
buzzfeed,18,6833,2025-07-30 07:52:44+00:00
buzzfeed-openlab,40,507,2025-04-07 01:03:02+00:00
buzzfeednews,115,3073,2025-07-25 01:43:34+00:00
california-civic-data-coalition,1,1,2022-04-22 07:52:01+00:00
calmatters,17,27,2025-07-30 17:15:25+00:00
canalplus,27,1047,2025-08-01 14:17:08+00:00
carolinadatadesk,10,12,2021-10-31 04:12:10+00:00
cbcnews,5,2,2020-08-04 17:52:06+00:00
cbcrc,73,169,2025-07-31 23:45:55+00:00
cbs-news-data,23,17,2025-08-03 11:03:42+00:00
censusreporter,14,1244,2025-07-28 18:23:48+00:00
chalkbeat,15,26,2025-05-22 14:44:26+00:00
chrondata,2,3,2018-10-18 20:51:01+00:00
cirlabs,37,260,2025-05-23 14:39:24+00:00
city-bureau,57,481,2025-08-02 16:22:30+00:00
civica-digital,44,39,2025-04-24 14:09:25+00:00
civilbeat,2,0,2017-07-15 02:31:33+00:00
civio,54,201,2025-07-26 15:34:21+00:00
condenast,58,655,2025-07-21 21:01:57+00:00
coralproject,71,2287,2025-07-24 01:26:53+00:00
cornelldatajournal,18,3,2025-05-10 18:36:34+00:00
correctiv,73,107,2025-07-18 15:48:49+00:00
courierjournal,19,8,2025-02-27 01:15:55+00:00
cunyjschool,36,42,2024-07-09 12:14:19+00:00
dailybeast,6,22,2025-08-03 00:26:47+00:00
dallasmorningnews,113,214,2025-08-03 11:04:13+00:00
data-liberation-project,24,77,2025-08-02 13:30:16+00:00
datadesk,170,3562,2025-08-03 10:04:34+00:00
datahub,30,46,2025-01-16 12:05:23+00:00
datamade,180,5160,2025-08-02 04:42:10+00:00
datanews,39,461,2025-06-04 18:06:27+00:00
datawrapper,19,1498,2025-07-24 14:47:34+00:00
delawaredata,4,8,2014-05-03 02:44:08+00:00
denverpost,117,31,2025-07-15 19:20:21+00:00
derspiegel,6,17,2025-04-10 11:45:30+00:00
deseretnews,4,0,2021-06-10 21:38:35+00:00
dnainfo,2,0,2015-05-05 17:31:08+00:00
documentcloud,21,6383,2025-08-01 13:55:56+00:00
dowjones,76,3157,2025-08-01 12:53:49+00:00
dronejournalismlab,2,74,2025-06-17 19:30:58+00:00
dukechronicle,12,229,2025-07-20 23:11:47+00:00
dw-data,107,190,2025-07-12 13:18:17+00:00
