created_at,count
2008-12,2
2009-01,1
2009-02,1
2009-03,2
2009-04,3
2009-05,0
2009-06,2
2009-07,3
2009-08,3
2009-09,2
2009-10,1
2009-11,2
2009-12,3
2010-01,5
2010-02,5
2010-03,8
2010-04,8
2010-05,4
2010-06,19
2010-07,15
2010-08,6
2010-09,14
2010-10,17
2010-11,20
2010-12,5
2011-01,24
2011-02,15
2011-03,18
2011-04,17
2011-05,17
2011-06,21
2011-07,14
2011-08,28
2011-09,21
2011-10,25
2011-11,15
2011-12,30
2012-01,19
2012-02,21
2012-03,28
2012-04,34
2012-05,46
2012-06,31
2012-07,44
2012-08,33
2012-09,33
2012-10,36
2012-11,59
2012-12,53
2013-01,46
2013-02,56
2013-03,67
2013-04,75
2013-05,70
2013-06,58
2013-07,52
2013-08,62
2013-09,49
2013-10,68
2013-11,84
2013-12,72
2014-01,100
2014-02,101
2014-03,125
2014-04,108
2014-05,166
2014-06,120
2014-07,118
2014-08,114
2014-09,124
2014-10,127
2014-11,184
2014-12,129
2015-01,185
2015-02,156
2015-03,169
2015-04,171
2015-05,189
2015-06,182
2015-07,190
2015-08,179
2015-09,162
2015-10,194
2015-11,180
2015-12,160
2016-01,198
2016-02,202
2016-03,171
2016-04,258
2016-05,173
2016-06,228
2016-07,197
2016-08,225
2016-09,244
2016-10,181
2016-11,219
2016-12,169
2017-01,234
2017-02,207
2017-03,223
2017-04,197
2017-05,241
2017-06,209
2017-07,184
2017-08,204
2017-09,183
2017-10,195
2017-11,167
2017-12,156
2018-01,197
2018-02,160
2018-03,163
2018-04,152
2018-05,126
2018-06,138
2018-07,151
2018-08,116
2018-09,110
2018-10,147
2018-11,138
2018-12,109
2019-01,115
2019-02,131
2019-03,96
2019-04,142
2019-05,140
2019-06,114
2019-07,115
2019-08,112
2019-09,109
2019-10,124
2019-11,112
2019-12,102
2020-01,115
2020-02,99
2020-03,146
2020-04,126
2020-05,97
2020-06,105
2020-07,87
2020-08,82
2020-09,63
2020-10,69
2020-11,75
2020-12,57
2021-01,72
2021-02,59
2021-03,79
2021-04,48
2021-05,61
2021-06,68
2021-07,48
2021-08,41
2021-09,58
2021-10,54
2021-11,56
2021-12,58
2022-01,58
2022-02,64
2022-03,96
2022-04,59
2022-05,60
2022-06,51
2022-07,57
2022-08,51
2022-09,35
2022-10,54
2022-11,55
2022-12,45
2023-01,76
2023-02,65
2023-03,44
2023-04,57
2023-05,46
2023-06,49
2023-07,31
2023-08,41
2023-09,47
2023-10,40
2023-11,46
2023-12,24
2024-01,30
2024-02,26
