Organization,Type,Github
19th,Newsroom,https://github.com/The-19th
ABC News (Australia),Newsroom,https://github.com/abcnews
Accurat,News Industry,https://github.com/accurat
Advocate (Baton Rouge),Newsroom,https://github.com/theadvocate
African Network of Centers for Investigative Reporting,News Industry,https://github.com/ANCIR
Aftenposten (Norway),Newsroom,https://github.com/aftenposten
AJ+,Newsroom,https://github.com/ALJAZEERAPLUS
AJAM,Newsroom,https://github.com/ajam
Al Jazeera Interactive,Newsroom,https://github.com/ajinteractive
American Public Media,Newsroom,https://github.com/APMG
Animal Politico,Newsroom,https://github.com/animalpolitico
Arizona Daily Star,Newsroom,https://github.com/arizonadailystar
Arizona Public Media,Newsroom,https://github.com/azpm
Arizona Republic,Newsroom,https://github.com/Arizona-Republic-Data
Associated Press,Newsroom,https://github.com/associatedpress
Atlanta Journal-Constitution,Newsroom,https://github.com/NewsappAJC
Atlantic,Newsroom,https://github.com/theatlantic
Austin American-Statesman,Newsroom,https://github.com/statesman
Axios,Newsroom,https://github.com/axioscode
Bad Idea Factory,News Industry,https://github.com/BadIdeaFactory
Baltimore Banner,Newsroom,https://github.com/The-Baltimore-Banner
Baltimore Sun,Newsroom,https://github.com/baltimore-sun-data
Bangor Daily News,Newsroom,https://github.com/bangordailynews
Bay Citizen,Newsroom,https://github.com/baycitizen
Bayerische Rundfunk,Newsroom,https://github.com/bayerischer-rundfunk
Bayerische Rundfunk Data,Newsroom,https://github.com/br-data
BBC England Data Unit,Newsroom,https://github.com/bbc-data-unit
BBC News,Newsroom,https://github.com/BBC-News
BBC News Labs,Newsroom,https://github.com/BBC-News-Labs
BBC R and D,Newsroom,https://github.com/bbcrd
BBC Visual Journalism,Newsroom,https://github.com/bbcvisualjournalism
Better Govt Association,Newsroom,https://github.com/bettergov
Big Local News,News Industry,https://github.com/biglocalnews
Bloomberg,Newsroom,https://github.com/bloomberg
Bloomberg Graphics,Newsroom,https://github.com/bloomberggraphics
Bloomberg Media,Newsroom,https://github.com/bloombergmedia
Boston Globe,Newsroom,https://github.com/bostonglobe
Brown Institute,News Industry,https://github.com/browninstitute
Buffalo News,Newsroom,https://github.com/thebuffalonews
Business Insider,Newsroom,https://github.com/businessinsider
BuzzFeed,Newsroom,https://github.com/BuzzFeed
Buzzfeed OpenLab,Newsroom,https://github.com/buzzfeed-openlab
BuzzFeedNews,Newsroom,https://github.com/BuzzFeedNews
California Civic Data Coalition,News Industry,https://github.com/california-civic-data-coalition
Calmatters,Newsroom,https://github.com/CalMatters
Canal Plus (France),Newsroom,https://github.com/canalplus
Carolina Data Desk,News Industry,https://github.com/carolinadatadesk
CBC / Radio-Canada,Newsroom,https://github.com/cbcrc
CBC News,Newsroom,https://github.com/CBCNews
CBS News,Newsroom,https://github.com/cbsnews
CBS News Data,Newsroom,https://github.com/cbs-news-data
Census Reporter,News Industry,https://github.com/censusreporter
Center for Investigative Reporting / Reveal,Newsroom,https://github.com/cirlabs
Center for Public Integrity,Newsroom,https://github.com/publici
Chalkbeat,Newsroom,https://github.com/Chalkbeat
